APP NAME                                   NUM MACHINES   AVG FIFOS   AVG PIPES    LOCAL TCP(TOTAL)    LOCAL UDP(TOTAL)    AVG UNIX     USERS
accountsd                                             8           0           0               0 (0)               0 (0)           1     USERNAME
Acrobat\x20Updater                                    2           0           3               0 (0)               0 (0)           2     USERNAME
ADDRESS BOOK                                          4           0           0               0 (2)               0 (0)           2     USERNAME
Adobe\x20CEF\x20Helper                                2           0           4               0 (0)               0 (0)           5     USERNAME
Adobe\x20Installer                                    1           2           0               0 (0)               0 (0)           0     root
AdobeCRDaemon                                         1           0           0               0 (0)               0 (0)           1     USERNAME
AdobeIPCBroker                                        2           0           0               0 (0)               0 (0)          10     USERNAME
AdobeReader                                           2           0           0               0 (0)               0 (0)           7     USERNAME
AdobeUpdateDaemon                                     2           2           0               0 (0)               0 (0)           0     root
AIRPLAY                                              22           0           0               0 (1)               2 (2)           5     root, USERNAME
airportd                                             22           0           0               0 (0)             10 (10)           3     root
akd                                                  18           0           0               0 (0)               0 (0)           1     USERNAME, root
APPLE PHOTOS                                          1           0           0               0 (0)               0 (0)           4     USERNAME
APPLE PREFERENCES                                     1           0           0               0 (0)               3 (3)           5     USERNAME
appleeventsd                                          1           0           0               0 (0)               0 (0)           1     _appleevents
AppleIDAuthAgent                                      1           0           0               0 (0)               0 (0)           2     USERNAME
AppleMobileDeviceHelper                               8           0           2               0 (0)               0 (0)           3     USERNAME
AppleSpell                                            1           0         226               0 (0)               0 (0)           1     USERNAME
AppStats                                              1           0           2               0 (0)               0 (0)           2     USERNAME
appstoreagent                                        14           0           0               0 (0)               0 (0)           1     USERNAME
AppTech                                               2           0           3               0 (0)               0 (0)           2     USERNAME
apsd                                                 22           0           0               0 (2)               0 (0)           4     root
ARDAgent                                              1           0           0               1 (1)               2 (2)           1     USERNAME
askpermissiond                                        1           0           0               0 (0)               0 (0)           1     USERNAME
AssetCacheLocatorService                              3           0           0               0 (0)               0 (0)           2     USERNAME, _assetcache
assistantd                                           13           0           0               0 (1)               1 (1)           0     USERNAME
ath                                                   3           0           2               0 (0)               0 (0)           5     USERNAME
ATOM                                                  5           0          36               0 (3)               0 (0)          10     USERNAME
authd                                                 1           0           0               0 (0)               0 (0)           1     root
AVAST                                                 1           0           8              2 (56)               0 (0)          84     root, USERNAME
avconferenced                                         9           0           0               1 (1)               4 (4)           1     USERNAME
awdd                                                  1           0           0               0 (0)               0 (0)           1     root
backgroundtaskmanagementagent                        19           0           0               0 (0)               0 (0)           1     USERNAME
Backup\x20and\x20Sync                                 1           0           7              0 (15)               0 (0)           2     USERNAME
bash                                                 22           0           1               0 (0)               0 (0)           1     root, USERNAME
biometrickitd                                         2           0           0               0 (1)               0 (0)           1     root
bird                                                  5           0           0               0 (0)               0 (0)           1     USERNAME
BlueJeans                                             1           0           6               1 (1)               0 (0)           0     USERNAME
BLUETOOTH                                            19           0           0               0 (0)               3 (3)           5     root
Calculator                                            1           0           0               0 (0)               0 (0)           1     USERNAME
CALENDAR                                             13           0           0               0 (2)               0 (0)           2     USERNAME
CALLHISTORY                                           1           0           0               0 (0)               0 (0)           2     USERNAME
callservicesd                                         2           0           0               0 (0)               0 (0)           1     USERNAME
CalNCService                                          1           0           0               0 (0)               0 (0)           1     USERNAME
captiveagent                                         15           0           0               0 (0)               0 (0)           2     _captiveagent
CARBONITE                                             1           0          34               2 (5)               0 (0)           4     root, USERNAME
cfbackd                                               1           0           0               0 (0)               0 (0)           5     root
cfprefsd                                              5           0           0               0 (0)               0 (0)           1     root, USERNAME
CHROME                                               16           0          50              1 (26)               1 (8)          38     USERNAME
CiscoVideoGuardMonitor                                1           0           8               2 (2)               0 (0)           0     USERNAME
cloudd                                               19           0           0               0 (2)               0 (0)           1     USERNAME
cloudfamilyrestrictionsd                              1           0           0               0 (0)               0 (0)           1     USERNAME
cloudpaird                                            1           0           0               0 (0)               0 (0)           1     USERNAME
cloudphotosd                                          1           0           0               0 (0)               0 (0)           3     USERNAME
CMFSyncAgent                                          1           0           0               0 (0)               0 (0)           1     USERNAME
CODE                                                  2           0          52              2 (10)               0 (0)          22     USERNAME
com.apple.AmbientDisplayAgent                         4           0           0               0 (0)               0 (0)           1     root
com.apple.appkit.xpc.openAndSav                      20           0           0               0 (0)               0 (0)           1     USERNAME
com.apple.BKAgentService                              4           0           0               0 (0)               0 (0)           1     USERNAME
com.apple.CommerceKit.Transacti                       3           0           0               0 (3)               0 (0)           2     USERNAME
com.apple.dock.extra                                  1           0           0               0 (0)               0 (0)           1     USERNAME
com.apple.geod                                        7           0           0               0 (2)               0 (0)           3     USERNAME, root
com.apple.hiservices-xpcservice                       1           0           0               0 (0)               0 (0)           1     USERNAME
com.apple.iCloudHelper                                2           0           0               0 (1)               0 (0)           1     USERNAME
com.apple.MediaLibraryService                         3           0           0               0 (0)               0 (0)           1     USERNAME
com.apple.PerformanceAnalysis.a                       3           0           0               0 (0)               0 (0)           1     root
com.apple.security.pboxd                             17           0           0               0 (0)               0 (0)           1     USERNAME
com.apple.speech.speechsynthesi                       1           0           0               0 (0)               0 (0)           1     USERNAME
com.apple.tonelibraryd                                1           0           0               0 (0)               0 (0)           1     USERNAME
com.symantec.SymLUHelper                              2           0           0               0 (0)               0 (0)           2     root
CommCenter                                           20           0           0               0 (0)               0 (0)           1     USERNAME
commerce                                             10           0           0               0 (2)               0 (0)           1     USERNAME
configd                                              22           0           0               0 (0)               4 (4)           3     root
Contacts                                              1           0           0               0 (0)               0 (0)           1     USERNAME
ContainerMetadataExtractor                           10           0           0               0 (0)               0 (0)           1     USERNAME
ControlStrip                                          1           0           0               0 (0)               0 (0)           1     USERNAME
CORE SERVICES                                         2           0           0               0 (0)               0 (0)           2     USERNAME, root
coreaudiod                                            1           0           0               0 (0)               0 (0)           1     _coreaudiod
coreduetd                                             1           0           0               0 (0)               0 (0)           1     root
corespeechd                                          15           0           0               0 (0)               0 (0)           1     USERNAME
CrashReporterSupportHelper                           17           0           0               0 (0)               0 (0)           1     root
CREATIVE CLOUD                                        2           2          19              2 (13)               0 (0)          22     USERNAME
cupsd                                                11           0           4               2 (2)               0 (0)           2     root
DashboardClient                                       2           0           0               0 (0)               0 (0)           1     USERNAME
DashlanePluginMASService                              1           0           4               1 (1)               0 (0)           0     USERNAME
DataDetectorsDynamicData                              1           0           0               0 (0)               0 (0)           1     USERNAME
dbfseventsd                                           6           0           9               0 (0)               0 (0)           2     root, USERNAME
digest-service                                        1           0           0               0 (0)               0 (0)           1     root
diskarbitrationd                                      1           0           0               0 (0)               0 (0)           1     root
displaypolicyd                                       19           0           0               0 (0)               0 (0)           1     _displaypolicyd
distnoted                                             1           0           0               0 (0)               0 (0)           1     USERNAME, _spotlight, _distnote
Dock                                                 22           0           0               0 (0)               0 (0)           1     USERNAME
DocumentPopoverViewService                            3           0           0               0 (0)               0 (0)           1     USERNAME
DrCleaner                                             1           0           0               0 (0)               1 (1)           2     USERNAME
DROPBOX                                               6           0          25              0 (11)               1 (1)          68     USERNAME
dsAccessService                                       4           0           6               0 (0)               0 (0)           0     root
eapolclient                                          21           0           0               0 (0)               1 (1)           2     USERNAME
EEventManager                                         1           0           0               1 (1)               1 (1)           0     USERNAME
EmojiFunctionRowIM_Extension                          1           0           0               0 (0)               0 (0)           1     USERNAME
eoshostd                                              2           0           0               0 (1)               0 (0)           0     root
EPIC GAMES/FORTNITE                                   1           0          50               0 (3)               4 (4)           6     USERNAME
EpsonLowInkReminderAgent                              1           0           0               0 (0)               0 (0)           1     USERNAME
EXCEL                                                 9           0           0               0 (2)               0 (0)           3     USERNAME
EXPRESS VPN                                           2           0           2               1 (1)               1 (2)           1     USERNAME, root
FaceTime                                              1           0           0               0 (0)               0 (0)           1     USERNAME
familycircled                                        15           0           0               0 (0)               0 (0)           1     USERNAME
filecoordinationd                                     8           0           0               0 (0)               0 (0)           1     root
Finder                                               22           0           0               0 (0)               1 (1)           1     USERNAME
findmydeviced                                        20           0           0               0 (0)               0 (0)           1     root
FIREFOX                                               1           0           9              0 (19)               0 (0)          54     USERNAME
Flux                                                  2           0           0               0 (0)               0 (0)           1     USERNAME
fmfd                                                  4           0           0               0 (1)               0 (0)           3     USERNAME
fontd                                                 1           0           0               0 (0)               0 (0)           1     USERNAME
FrontendAgent                                         2           0           0               0 (0)               0 (0)           1     USERNAME
fud                                                   4           0           0               0 (0)               0 (0)           1     root
gamed                                                 4           0           0               0 (0)               0 (0)           1     USERNAME
hidd                                                  2           0           0               0 (0)               0 (0)           1     _hidd
homed                                                12           0           0               0 (0)               0 (0)           3     USERNAME
HP\x20Device\x20Monitor                               3           0           0               3 (3)               0 (0)          14     USERNAME
icdd                                                 22           0           0               0 (0)               0 (0)          10     USERNAME
ICON SERVICES                                         1           0           0               0 (0)               0 (0)           2     USERNAME, _iconservices
identityservicesd                                    22           0           0               0 (4)               1 (1)           8     USERNAME
IDSKeychainSyncingProxy                               1           0           0               0 (0)               0 (0)           1     USERNAME
Image\x20Capture\x20Extension                         1           0           0               0 (0)               0 (0)          11     USERNAME
imagent                                               3           0           0               0 (0)               0 (0)           1     USERNAME
IMDPersistenceAgent                                   1           0           0               0 (0)               0 (0)           1     USERNAME
IMLoggingAgent                                        1           0           0               0 (0)               0 (0)           1     USERNAME
IMRemoteURLConnectionAgent                            7           0           0               0 (3)               0 (0)           2     USERNAME
