Apps                                    Avg Num     Num Machines
usbmuxd                                 100.0       20
UserEventAgent                          100.0       20
icdd                                    100.0       20
Dock                                    100.0       20
bash                                    100.0       20
symptomsd                               100.0       20
lsof                                    100.0       20
identityservicesd                       100.0       20
eapolclient                             100.0       20
loginwindow                             100.0       20
launchd                                 100.0       20
sharingd                                100.0       20
WiFiAgent                               100.0       20
mDNSResponder                           100.0       20
KernelEventAgent                        100.0       20
sudo                                    100.0       20
AirPlayXPCHelper                        100.0       20
netbiosd                                100.0       20
syslogd                                 100.0       20
Finder                                  100.0       20
configd                                 100.0       20
airportd                                100.0       20
Terminal                                100.0       20
apsd                                    100.0       20
SystemUIServer                          100.0       20
nsurlsessiond                           100.0       20
locationd                               100.0       20
networkserviceproxy                     95.0        19
WirelessRadioManagerd                   90.0        18
NotificationCenter                      90.0        18
WiFiProxy                               90.0        18
CommCenter                              90.0        18
nsurlstoraged                           90.0        18
com.apple.appkit.xpc.openAndSav         90.0        18
Spotlight                               90.0        18
secd                                    90.0        18
mds                                     90.0        18
findmydeviced                           90.0        18
logd                                    85.0        17
cloudd                                  85.0        17
bluetoothd                              85.0        17
backgroundtaskmanagementagent           85.0        17
timed                                   85.0        17
CrashReporterSupportHelper              85.0        17
systemstats                             85.0        17
displaypolicyd                          85.0        17
suhelperd                               85.0        17
rapportd                                85.0        17
Preview                                 85.0        17
WindowServer                            80.0        16
akd                                     80.0        16
com.apple.security.pboxd                75.0        15
Microsoft\x20Word                       70.0        14
usernoted                               70.0        14
Messages                                70.0        14
Google\x20Chrome                        70.0        14
Google\x20Chrome\x20Helper              70.0        14
syspolicyd                              65.0        13
familycircled                           65.0        13
CalendarAgent                           65.0        13
OSDUIHelper                             65.0        13
PerfPowerServices                       65.0        13
corespeechd                             65.0        13
captiveagent                            65.0        13
Spotify                                 60.0        12
appstoreagent                           60.0        12
rtcreportingd                           60.0        12
Spotify\x20Helper                       60.0        12
Safari                                  55.0        11
homed                                   55.0        11
assistantd                              55.0        11
com.apple.WebKit.Networking             50.0        10
cupsd                                   50.0        10
iTunes                                  50.0        10
rpcsvchost                              50.0        10
LocationMenu                            45.0        9
mediaremoted                            45.0        9
ContainerMetadataExtractor              45.0        9
commerce                                45.0        9
Microsoft\x20PowerPoint                 45.0        9
MobileDeviceUpdater                     45.0        9
parsecd                                 45.0        9
Notes                                   45.0        9
Microsoft\x20Excel                      45.0        9
iTunesHelper                            40.0        8
avconferenced                           40.0        8
IMRemoteURLConnectionAgent              35.0        7
com.apple.siri-distributed-eval         35.0        7
printtool                               35.0        7
PrintUITool                             35.0        7
pbs                                     35.0        7
accountsd                               35.0        7
filecoordinationd                       35.0        7
trustd                                  35.0        7
Siri                                    35.0        7
AppleMobileDeviceHelper                 35.0        7
com.apple.WebKit.WebContent             30.0        6
Dropbox                                 30.0        6
dbfseventsd                             30.0        6
Dropbox\x20Web\x20Helper                30.0        6
Mail                                    30.0        6
SidecarRelay                            30.0        6
com.apple.geod                          30.0        6
TextEdit                                30.0        6
syncdefaultsd                           25.0        5
cfprefsd                                25.0        5
Atom                                    25.0        5
Atom\x20Helper                          25.0        5
dsAccessService                         20.0        4
com.apple.Safari.SandboxBroker          20.0        4
fud                                     20.0        4
photoanalysisd                          20.0        4
fmfd                                    20.0        4
com.apple.Safari.SafeBrowsing.S         20.0        4
com.apple.AmbientDisplayAgent           20.0        4
Office365ServiceV2                      20.0        4
spindump_agent                          20.0        4
gamed                                   20.0        4
System\x20Preferences                   20.0        4
bluetoothaudiod                         20.0        4
AddressBookSourceSync                   20.0        4
bird                                    20.0        4
ZoomOpener                              15.0        3
com.apple.BKAgentService                15.0        3
ReportCrash                             15.0        3
HP\x20Device\x20Monitor                 15.0        3
rsession                                15.0        3
com.apple.CommerceKit.Transacti         15.0        3
RStudio                                 15.0        3
LookupViewService                       15.0        3
imagent                                 15.0        3
com.apple.Safari.SearchHelper           15.0        3
socketfilterfw                          15.0        3
SCIM_Extension                          15.0        3
DocumentPopoverViewService              15.0        3
ath                                     15.0        3
com.apple.PerformanceAnalysis.a         15.0        3
AssetCacheLocatorService                15.0        3
suggestd                                15.0        3
com.apple.MediaLibraryService           15.0        3
blued                                   15.0        3
ntpd                                    15.0        3
wifivelocityd                           15.0        3
mapspushd                               15.0        3
FrontendAgent                           10.0        2
AdobeUpdateDaemon                       10.0        2
Electron                                10.0        2
Code\x20Helper                          10.0        2
